"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BDKRB1",-2.311163889649,5.66081622700762,-11.4824733490186,2.8933787323157e-27,5.93128580947204e-26,51.0120161433803
"GCNT4",-2.97591309877761,5.31312336787979,-11.4779643454789,3.01545141449565e-27,6.17552739197778e-26,50.9710969654895
"UCN2",2.71680670351479,3.45406590430782,11.4752528530107,3.09131222305895e-27,6.32474685094137e-26,50.9464947013709
"MAFA",-2.11922789791255,1.60601652554174,-11.4731849488997,3.15044014791311e-27,6.43947524031775e-26,50.9277342052496
"FBXL22",-2.26918414976845,5.58667937760853,-11.4726500903444,3.16591566800596e-27,6.4648427009601e-26,50.9228821679326
"NPAS4",-2.35175563460567,1.60839694599596,-11.4712988526042,3.20534978640084e-27,6.53903756231522e-26,50.9106248310393
"LRRC66",-2.56335442014455,7.62724118807666,-11.4703420187173,3.23356880987008e-27,6.59023192999028e-26,50.9019457166975
"MPP2",-2.48163688944957,5.47999145621155,-11.4675023921562,3.31877828517657e-27,6.75736574782959e-26,50.8761909188755
"CYS1",-2.87649710042595,5.79471951371769,-11.4625322465481,3.47332807660655e-27,7.06522492265561e-26,50.8311217353465
"OMD",-4.27598627720706,3.46701190459055,-11.4591481106637,3.58263527665277e-27,7.27711372135813e-26,50.8004409869407
"LGI3",-2.87354691642401,2.05973053223305,-11.4590944977794,3.58439421470138e-27,7.27711372135813e-26,50.799954972383
"ARRDC4",-2.34627493794026,9.75690805299885,-11.4571492992751,3.64879674376662e-27,7.40074216471279e-26,50.7823221472444
"RND2",-2.69781499399438,3.79251104673024,-11.4569291999034,3.65615598695991e-27,7.40854509019523e-26,50.7803271017735
"ARRB1",-1.70588553484201,10.1921131778465,-11.4565958750425,3.667329153396e-27,7.4240538542932e-26,50.777305789793
"SCG2",-3.49380248282452,6.14012088715813,-11.4504879042241,3.8781891683174e-27,7.84338660752514e-26,50.7219512235787
"CCL8",-3.62562261310318,4.99538819328412,-11.4442944594204,4.10431120611368e-27,8.29275292928755e-26,50.6658396609861
"PPP1R16B",-2.56076551475628,7.71730079608187,-11.4399485979743,4.27075999861258e-27,8.62080491968743e-26,50.6264774958514
