#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CRY2	GRP	9606.ENSP00000478187	9606.ENSP00000256857	0	0	0	0	0	0	0	0.447	0.447
CRY2	RORC	9606.ENSP00000478187	9606.ENSP00000327025	0	0	0	0	0.047	0.087	0	0.683	0.700
CRYAB	GJA3	9606.ENSP00000433560	9606.ENSP00000241125	0	0	0	0	0.049	0	0	0.683	0.686
CRYAB	SFRP2	9606.ENSP00000433560	9606.ENSP00000274063	0	0	0	0	0.062	0	0	0.392	0.405
CRYAB	MYOZ1	9606.ENSP00000433560	9606.ENSP00000352272	0	0	0	0	0.094	0	0	0.547	0.572
CRYAB	HSPA1A	9606.ENSP00000433560	9606.ENSP00000364802	0	0	0	0	0.068	0.071	0.400	0.473	0.690
CRYAB	HSPA1L	9606.ENSP00000433560	9606.ENSP00000364805	0	0	0	0	0.049	0.071	0.400	0.385	0.630
CRYAB	HSF4	9606.ENSP00000433560	9606.ENSP00000430947	0	0	0	0	0.068	0	0	0.583	0.594
CRYAB	TNNT2	9606.ENSP00000433560	9606.ENSP00000499593	0	0	0	0	0.073	0.051	0	0.373	0.401
CTSD	SERPINE1	9606.ENSP00000236671	9606.ENSP00000223095	0	0	0	0	0.052	0	0	0.419	0.426
CTSD	H4C14	9606.ENSP00000236671	9606.ENSP00000462667	0	0	0	0	0	0	0	0.407	0.407
CTSD	H4C8	9606.ENSP00000236671	9606.ENSP00000489236	0	0	0	0	0.042	0	0	0.409	0.410
CTSD	KLK4	9606.ENSP00000236671	9606.ENSP00000326159	0	0	0	0	0	0.046	0	0.410	0.413
CTSD	CYP46A1	9606.ENSP00000236671	9606.ENSP00000261835	0	0	0	0	0.059	0.052	0	0.423	0.441
CTSD	PXDNL	9606.ENSP00000236671	9606.ENSP00000348645	0	0	0	0	0	0	0	0.501	0.501
CTSD	MAPT	9606.ENSP00000236671	9606.ENSP00000340820	0	0	0	0	0.044	0.292	0	0.399	0.558
CXCL1	TIMP1	9606.ENSP00000379110	9606.ENSP00000218388	0	0	0	0	0.152	0	0	0.619	0.663
CXCL1	SERPINE1	9606.ENSP00000379110	9606.ENSP00000223095	0	0	0	0	0.162	0	0	0.530	0.590
CXCL1	EREG	9606.ENSP00000379110	9606.ENSP00000244869	0	0	0	0	0.133	0	0	0.404	0.461
CXCL1	IL7	9606.ENSP00000379110	9606.ENSP00000263851	0	0	0	0	0.080	0	0	0.789	0.797
CXCL1	MMP10	9606.ENSP00000379110	9606.ENSP00000279441	0	0	0	0	0.180	0	0	0.399	0.486
CXCL1	MMP3	9606.ENSP00000379110	9606.ENSP00000299855	0	0	0	0	0.138	0	0	0.801	0.821
CXCL1	MMP1	9606.ENSP00000379110	9606.ENSP00000322788	0	0	0	0	0.225	0	0	0.694	0.752
CXCL1	PXDNL	9606.ENSP00000379110	9606.ENSP00000348645	0	0	0	0	0.055	0	0	0.479	0.486
CXCL1	XCL1	9606.ENSP00000379110	9606.ENSP00000356792	0	0	0	0	0.057	0	0	0.512	0.521
CXCL1	NGF	9606.ENSP00000379110	9606.ENSP00000358525	0	0	0	0	0.043	0	0	0.451	0.452
CXCL1	IL17A	9606.ENSP00000379110	9606.ENSP00000497968	0	0	0	0	0.061	0	0	0.900	0.902
CYP11A1	CYP46A1	9606.ENSP00000268053	9606.ENSP00000261835	0	0	0.249	0.573	0.048	0.069	0	0.377	0.530
CYP11A1	CYP1B1	9606.ENSP00000268053	9606.ENSP00000478561	0	0	0.234	0.577	0.062	0.091	0	0.268	0.458
CYP1B1	GSTM2	9606.ENSP00000478561	9606.ENSP00000241337	0	0	0	0	0.067	0.045	0.900	0.481	0.947
CYP1B1	UGT2A3	9606.ENSP00000478561	9606.ENSP00000251566	0	0	0	0	0.067	0	0.907	0.264	0.931
CYP1B1	SIX2	9606.ENSP00000478561	9606.ENSP00000304502	0	0	0	0	0.042	0	0	0.490	0.490
CYP1B1	UGT2B7	9606.ENSP00000478561	9606.ENSP00000304811	0	0	0	0	0.067	0	0.907	0.410	0.944
CYP1B1	SULT1B1	9606.ENSP00000478561	9606.ENSP00000308770	0	0	0	0	0.060	0	0	0.393	0.405
