,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
3875,TRAPPC8,1.024,0.845,1.241,1.024[0.845:1.241],0.806
3876,SLC27A2,1.035,0.86,1.246,1.035[0.86:1.246],0.713
3877,C1orf50.AS1,1.016,0.842,1.226,1.016[0.842:1.226],0.868
3878,SEMA6A.AS1,1.04,0.887,1.22,1.04[0.887:1.22],0.629
3879,RGL4,1.151,0.947,1.398,1.151[0.947:1.398],0.157
3880,NCAPD2P1,1.038,0.93,1.159,1.038[0.93:1.159],0.507
3881,LPAR5,0.993,0.79,1.248,0.993[0.79:1.248],0.951
3882,TRPC6P2,0.941,0.806,1.097,0.941[0.806:1.097],0.435
3883,TAOK3,1.11,0.895,1.377,1.11[0.895:1.377],0.342
3884,ECSCR,1.11,0.931,1.324,1.11[0.931:1.324],0.245
3885,P2RX7,1.091,0.95,1.253,1.091[0.95:1.253],0.22
3886,KLF10,1.038,0.848,1.271,1.038[0.848:1.271],0.719
3887,CRYBG1,1.032,0.864,1.233,1.032[0.864:1.233],0.73
3888,COPDA1,1.017,0.879,1.176,1.017[0.879:1.176],0.823
3889,TRMT9B,0.884,0.779,1.004,0.884[0.779:1.004],0.058
3890,KALRN,1.003,0.825,1.219,1.003[0.825:1.219],0.977
3891,WIPF2,1.088,0.902,1.311,1.088[0.902:1.311],0.378
3892,ANKRD12,1.063,0.913,1.238,1.063[0.913:1.238],0.429
3893,BYSL,1.169,0.899,1.519,1.169[0.899:1.519],0.245
3894,CHFR,1.056,0.903,1.235,1.056[0.903:1.235],0.494
3895,CELSR3,1.041,0.906,1.196,1.041[0.906:1.196],0.571
3896,LRFN1,1.264,1.106,1.445,1.264[1.106:1.445],5.955278e-04
3897,THTPA,1.121,0.893,1.408,1.121[0.893:1.408],0.324
3898,FYCO1,1.041,0.863,1.255,1.041[0.863:1.255],0.675
3899,PCDH19,1.064,0.971,1.166,1.064[0.971:1.166],0.181
3900,PTPN18,1.276,0.995,1.637,1.276[0.995:1.637],0.055
3901,RAET1K,1.156,1.006,1.328,1.156[1.006:1.328],0.04
3902,CHST7,1.16,0.949,1.417,1.16[0.949:1.417],0.148
3903,AKT3,1.11,0.96,1.284,1.11[0.96:1.284],0.159
3904,TPMT,0.954,0.786,1.158,0.954[0.786:1.158],0.631
3905,BTC,0.952,0.807,1.123,0.952[0.807:1.123],0.56
3906,TSPYL1,1.058,0.826,1.355,1.058[0.826:1.355],0.655
3907,IDNK,1.143,0.924,1.414,1.143[0.924:1.414],0.219
3908,NAA60,1.08,0.862,1.354,1.08[0.862:1.354],0.504
3909,PDZD9,1.046,0.861,1.271,1.046[0.861:1.271],0.653
3910,SSC5D,1.081,0.97,1.206,1.081[0.97:1.206],0.16
3911,IL1RL1,0.973,0.858,1.103,0.973[0.858:1.103],0.668
3912,UBB,1.125,0.891,1.421,1.125[0.891:1.421],0.322
3913,FAM184A,1.062,0.952,1.184,1.062[0.952:1.184],0.279
3914,TRAC,0.961,0.822,1.125,0.961[0.822:1.125],0.621
3915,SRPX2,0.976,0.868,1.097,0.976[0.868:1.097],0.684
3916,SMIM22,0.918,0.755,1.117,0.918[0.755:1.117],0.393
3917,NR1H2,1.268,0.974,1.651,1.268[0.974:1.651],0.078
3918,NXPH4,1.094,1.008,1.187,1.094[1.008:1.187],0.032
3919,FAM131A,1.307,1.029,1.661,1.307[1.029:1.661],0.028
3920,FAM219B,1.34,1.051,1.708,1.34[1.051:1.708],0.018
3921,AP1B1,1.073,0.85,1.353,1.073[0.85:1.353],0.555
3922,RSPH3,1.132,0.901,1.423,1.132[0.901:1.423],0.288
3923,UBL3,1.038,0.869,1.24,1.038[0.869:1.24],0.68
3924,WT1,1.08,0.997,1.169,1.08[0.997:1.169],0.059
3925,PEAK1,1.106,0.915,1.338,1.106[0.915:1.338],0.298
3926,ACSM1,0.99,0.854,1.147,0.99[0.854:1.147],0.89
3927,PTPRM,1.087,0.918,1.288,1.087[0.918:1.288],0.334
3928,APC2,1.335,1.097,1.625,1.335[1.097:1.625],0.004
3929,RPL17P47,0.972,0.844,1.12,0.972[0.844:1.12],0.696
3930,HLA.DOB,1.047,0.92,1.191,1.047[0.92:1.191],0.487
3931,GPC6,1.034,0.907,1.18,1.034[0.907:1.18],0.615
3932,DNAJC4,1.304,1.01,1.685,1.304[1.01:1.685],0.042
3933,C4orf33,0.974,0.818,1.161,0.974[0.818:1.161],0.769
3934,SARAF,0.937,0.77,1.139,0.937[0.77:1.139],0.514
3935,EFCAB5,1.002,0.858,1.17,1.002[0.858:1.17],0.98
