,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
1349,SLCO1C1,1.006,0.857,1.18,1.006[0.857:1.18],0.944
1350,COLEC12,1.051,0.938,1.178,1.051[0.938:1.178],0.389
1351,GNG12.AS1,1.034,0.867,1.233,1.034[0.867:1.233],0.708
1352,PLS1,0.963,0.806,1.152,0.963[0.806:1.152],0.682
1353,CAMK4,1.032,0.886,1.201,1.032[0.886:1.201],0.687
1354,PTK2B,0.984,0.81,1.197,0.984[0.81:1.197],0.875
1355,NXPE4,0.944,0.885,1.006,0.944[0.885:1.006],0.077
1356,CRABP1,0.987,0.891,1.094,0.987[0.891:1.094],0.807
1357,RASGRP4,0.998,0.862,1.155,0.998[0.862:1.155],0.975
1358,IGHV3.13,0.955,0.883,1.033,0.955[0.883:1.033],0.253
1359,IGKV2.24,0.932,0.864,1.006,0.932[0.864:1.006],0.07
1360,DNAAF9,1.114,0.967,1.282,1.114[0.967:1.282],0.134
1361,SLC66A2,1.097,0.869,1.385,1.097[0.869:1.385],0.435
1362,TLR7,1.005,0.887,1.139,1.005[0.887:1.139],0.933
1363,AKR1C2,1.006,0.883,1.147,1.006[0.883:1.147],0.924
1364,KCNK10,0.956,0.852,1.073,0.956[0.852:1.073],0.448
1365,PARM1,0.888,0.771,1.024,0.888[0.771:1.024],0.102
1366,RAB39B,0.963,0.84,1.104,0.963[0.84:1.104],0.588
1367,FCGBP,0.951,0.883,1.024,0.951[0.883:1.024],0.183
1368,GPRIN2,1.125,0.954,1.328,1.125[0.954:1.328],0.162
1369,LMO2,1.093,0.912,1.311,1.093[0.912:1.311],0.335
1370,CLMN,1.018,0.841,1.233,1.018[0.841:1.233],0.852
1371,BTLA,0.979,0.855,1.12,0.979[0.855:1.12],0.756
1372,GALNT15,1.114,0.995,1.248,1.114[0.995:1.248],0.06
1373,IGLC6,0.981,0.87,1.107,0.981[0.87:1.107],0.756
1374,UCN3,0.918,0.835,1.009,0.918[0.835:1.009],0.076
1375,POLD4,1.181,0.941,1.483,1.181[0.941:1.483],0.152
1376,NBEAL1,1.023,0.869,1.203,1.023[0.869:1.203],0.785
1377,MARCHF2,1.205,0.92,1.577,1.205[0.92:1.577],0.175
1378,RTL5,1.173,1.012,1.359,1.173[1.012:1.359],0.034
1379,C16orf54,0.998,0.874,1.14,0.998[0.874:1.14],0.979
1380,STPG1,1.008,0.823,1.235,1.008[0.823:1.235],0.936
1381,ARHGEF25,1.146,0.993,1.324,1.146[0.993:1.324],0.062
1382,IGKV2OR22.4,0.967,0.873,1.073,0.967[0.873:1.073],0.529
1383,CLIP3,1.151,0.978,1.355,1.151[0.978:1.355],0.09
1384,OAF,1.051,0.815,1.356,1.051[0.815:1.356],0.699
1385,MSX1,1.112,0.967,1.28,1.112[0.967:1.28],0.137
1386,IL10RB,1.161,0.916,1.471,1.161[0.916:1.471],0.218
1387,FABP1,1.01,0.94,1.086,1.01[0.94:1.086],0.787
1388,LSP1,1.085,0.931,1.266,1.085[0.931:1.266],0.295
1389,BHMT2,1.059,0.936,1.199,1.059[0.936:1.199],0.365
1390,RPH3AL.AS1,1.092,0.932,1.281,1.092[0.932:1.281],0.277
1391,LINC02381,1.171,1.008,1.36,1.171[1.008:1.36],0.039
1392,CDHR2,0.935,0.845,1.036,0.935[0.845:1.036],0.2
1393,CD22,1.006,0.903,1.122,1.006[0.903:1.122],0.909
1394,GABRD,1.486,1.208,1.828,1.486[1.208:1.828],1.736864e-04
1395,TRGC2,0.927,0.816,1.054,0.927[0.816:1.054],0.246
1396,FAM30A,0.987,0.898,1.084,0.987[0.898:1.084],0.781
1397,MEI1,0.953,0.815,1.115,0.953[0.815:1.115],0.548
1398,PLIN1,1.102,1.001,1.212,1.102[1.001:1.212],0.047
1399,VWA5A,0.901,0.777,1.046,0.901[0.777:1.046],0.17
1400,TMTC1,1.047,0.909,1.207,1.047[0.909:1.207],0.523
1401,VWA3B,0.981,0.843,1.143,0.981[0.843:1.143],0.81
1402,RHOF,1.002,0.864,1.163,1.002[0.864:1.163],0.977
1403,AOX1,0.993,0.883,1.115,0.993[0.883:1.115],0.899
1404,XCL2,0.952,0.826,1.098,0.952[0.826:1.098],0.499
1405,S100A2,1.101,0.976,1.242,1.101[0.976:1.242],0.118
1406,COX7A1,1.177,0.973,1.424,1.177[0.973:1.424],0.092
1407,LINC00996,0.947,0.823,1.09,0.947[0.823:1.09],0.448
1408,MEP1A,0.952,0.869,1.044,0.952[0.869:1.044],0.3
1409,VPS35L,0.975,0.834,1.14,0.975[0.834:1.14],0.751
1410,EBI3,1.024,0.872,1.202,1.024[0.872:1.202],0.772
1411,ULBP2,1.16,1.027,1.311,1.16[1.027:1.311],0.017
1412,NRG4,1.072,0.937,1.227,1.072[0.937:1.227],0.308
1413,RIMKLA,0.97,0.815,1.154,0.97[0.815:1.154],0.732
1414,SOCS2,1.027,0.847,1.244,1.027[0.847:1.244],0.787
1415,KIRREL3,0.95,0.831,1.086,0.95[0.831:1.086],0.45
1416,TRDC,1.002,0.895,1.122,1.002[0.895:1.122],0.969
1417,GRHL3,1.026,0.906,1.162,1.026[0.906:1.162],0.686
1418,ATP5F1A,0.932,0.74,1.174,0.932[0.74:1.174],0.55
1419,NEFH,1.039,0.899,1.2,1.039[0.899:1.2],0.609
1420,CLCA2,0.92,0.826,1.024,0.92[0.826:1.024],0.127
1421,CIDEC,0.995,0.891,1.111,0.995[0.891:1.111],0.93
1422,CCNJL,0.915,0.793,1.056,0.915[0.793:1.056],0.225
1423,IGKV1D.12,0.892,0.797,0.999,0.892[0.797:0.999],0.049
1424,FAM162A,1.008,0.81,1.255,1.008[0.81:1.255],0.942
1425,BTD,1.115,0.869,1.431,1.115[0.869:1.431],0.39
1426,ANKRD53,1.175,0.981,1.407,1.175[0.981:1.407],0.08
1427,TENT5B,1.03,0.898,1.182,1.03[0.898:1.182],0.674
1428,EPB41L4A,0.973,0.855,1.108,0.973[0.855:1.108],0.679
1429,CAPN2,1.08,0.876,1.332,1.08[0.876:1.332],0.469
1430,IMPA2,0.898,0.708,1.139,0.898[0.708:1.139],0.376
1431,TENM1,1.093,0.974,1.228,1.093[0.974:1.228],0.132
1432,MAP6,1.12,0.977,1.284,1.12[0.977:1.284],0.103
1433,ANXA8L1,1.182,1.031,1.355,1.182[1.031:1.355],0.017
1434,HADHB,0.994,0.79,1.251,0.994[0.79:1.251],0.959
1435,MIDEAS,1.128,0.911,1.397,1.128[0.911:1.397],0.267
1436,IGLV10.54,0.955,0.887,1.028,0.955[0.887:1.028],0.225
1437,TMEM59,0.989,0.787,1.243,0.989[0.787:1.243],0.928
1438,RNASEL,1.041,0.862,1.258,1.041[0.862:1.258],0.676
1439,MAP2K5.DT,1.112,0.916,1.349,1.112[0.916:1.349],0.283
1440,TUB,1.134,1.001,1.285,1.134[1.001:1.285],0.049
1441,WASL.DT,1.044,0.859,1.268,1.044[0.859:1.268],0.665
1442,KCNAB1,1.042,0.892,1.218,1.042[0.892:1.218],0.602
1443,PID1,0.964,0.852,1.092,0.964[0.852:1.092],0.565
1444,TJP3,0.953,0.783,1.159,0.953[0.783:1.159],0.627
1445,C1QL1,1.175,0.994,1.388,1.175[0.994:1.388],0.059
1446,LINC01550,0.893,0.785,1.014,0.893[0.785:1.014],0.082
1447,RTN1,1.062,0.934,1.208,1.062[0.934:1.208],0.358
1448,SENCR,0.989,0.831,1.176,0.989[0.831:1.176],0.898
1449,GPR18,0.998,0.858,1.162,0.998[0.858:1.162],0.983
1450,TRIM36,0.99,0.848,1.155,0.99[0.848:1.155],0.895
1451,GOLM1,1.058,0.879,1.274,1.058[0.879:1.274],0.548
1452,GPR34,0.971,0.846,1.114,0.971[0.846:1.114],0.673
1453,ITPKA,0.984,0.842,1.149,0.984[0.842:1.149],0.84
1454,LINC02441,0.997,0.906,1.097,0.997[0.906:1.097],0.944
1455,CPNE8.AS1,1.082,0.914,1.281,1.082[0.914:1.281],0.36
1456,IGKV3D.20,0.975,0.902,1.055,0.975[0.902:1.055],0.535
1457,CCL19,0.982,0.889,1.083,0.982[0.889:1.083],0.712
1458,DSEL,1.029,0.893,1.185,1.029[0.893:1.185],0.697
1459,CACFD1,1.112,0.89,1.389,1.112[0.89:1.389],0.35
1460,GPC5,1.009,0.884,1.152,1.009[0.884:1.152],0.894
1461,LINC02289,0.994,0.819,1.208,0.994[0.819:1.208],0.955
1462,IGHV7.56,0.948,0.833,1.078,0.948[0.833:1.078],0.417
1463,C18orf32,1.042,0.824,1.319,1.042[0.824:1.319],0.729
1464,TNFRSF1A,1.115,0.853,1.457,1.115[0.853:1.457],0.426
1465,FBLN1,1.068,0.941,1.211,1.068[0.941:1.211],0.309
1466,ACSS2,1.038,0.834,1.293,1.038[0.834:1.293],0.738
1467,EGLN1,1.101,0.859,1.411,1.101[0.859:1.411],0.448
1468,BFSP2,0.95,0.803,1.125,0.95[0.803:1.125],0.552
1469,LARGE1,1.061,0.878,1.283,1.061[0.878:1.283],0.538
1470,SLC20A1,1.127,0.911,1.396,1.127[0.911:1.396],0.271
1471,FCRL1,1.01,0.909,1.121,1.01[0.909:1.121],0.859
1472,RYR3,1.079,0.928,1.254,1.079[0.928:1.254],0.324
1473,SI,0.993,0.926,1.064,0.993[0.926:1.064],0.839
1474,IGSF3,1.018,0.839,1.235,1.018[0.839:1.235],0.854
1475,FIGN,1.057,0.924,1.21,1.057[0.924:1.21],0.417
1476,LANCL3,1.089,0.949,1.251,1.089[0.949:1.251],0.226
1477,EEF1A2,1.146,1.022,1.285,1.146[1.022:1.285],0.019
1478,ULBP1,1.153,1.013,1.314,1.153[1.013:1.314],0.032
1479,NAP1L3,1.035,0.914,1.172,1.035[0.914:1.172],0.588
1480,CLCA1,0.945,0.901,0.991,0.945[0.901:0.991],0.019
1481,LIMA1,1.008,0.853,1.192,1.008[0.853:1.192],0.926
1482,APLP1,1.131,0.967,1.323,1.131[0.967:1.323],0.125
1483,GZMM,1.049,0.907,1.213,1.049[0.907:1.213],0.52
1484,MZB1,1.001,0.904,1.107,1.001[0.904:1.107],0.991
1485,FLNC,1.074,0.958,1.205,1.074[0.958:1.205],0.222
1486,RCAN1,0.996,0.818,1.213,0.996[0.818:1.213],0.969
1487,MST1L,1.117,0.988,1.264,1.117[0.988:1.264],0.077
1488,CHMP1B,1.039,0.815,1.325,1.039[0.815:1.325],0.758
1489,PRR5L,1.032,0.845,1.261,1.032[0.845:1.261],0.757
1490,KBTBD11.OT1,0.959,0.814,1.129,0.959[0.814:1.129],0.613
1491,CTHRC1,1.092,0.964,1.237,1.092[0.964:1.237],0.165
1492,DCN,1.007,0.888,1.142,1.007[0.888:1.142],0.91
1493,SCAMP2,1.114,0.882,1.408,1.114[0.882:1.408],0.363
1494,HMGCL,0.917,0.726,1.158,0.917[0.726:1.158],0.467
1495,SLC46A3,1.062,0.895,1.259,1.062[0.895:1.259],0.493
1496,IGKV1.27,0.978,0.908,1.053,0.978[0.908:1.053],0.555
1497,MEIS1,1.093,0.951,1.257,1.093[0.951:1.257],0.21
1498,MGAM,1.022,0.904,1.156,1.022[0.904:1.156],0.728
1499,ATG9B,1.111,0.97,1.272,1.111[0.97:1.272],0.13
1500,PLD1,1.006,0.829,1.221,1.006[0.829:1.221],0.949
1501,HECTD3,1.085,0.85,1.385,1.085[0.85:1.385],0.511
1502,SPECC1L,1.129,0.899,1.417,1.129[0.899:1.417],0.296
1503,IL11,0.977,0.877,1.087,0.977[0.877:1.087],0.667
1504,SLC35D1,0.925,0.769,1.112,0.925[0.769:1.112],0.405
1505,SPRY4.AS1,1.034,0.866,1.235,1.034[0.866:1.235],0.71
1506,TMEM273,0.931,0.793,1.093,0.931[0.793:1.093],0.382
1507,LINC02362,0.984,0.859,1.126,0.984[0.859:1.126],0.81
1508,AKAP6,1.067,0.926,1.23,1.067[0.926:1.23],0.369
1509,SUCLG2,0.934,0.788,1.106,0.934[0.788:1.106],0.428
1510,FAM110D,1.235,1.039,1.47,1.235[1.039:1.47],0.017
1511,GPR162,1.227,1.01,1.489,1.227[1.01:1.489],0.039
1512,MATN2,0.99,0.875,1.12,0.99[0.875:1.12],0.871
1513,RXRA,1.176,0.93,1.488,1.176[0.93:1.488],0.175
1514,MRPS35.DT,0.997,0.901,1.104,0.997[0.901:1.104],0.957
1515,SMKR1,0.969,0.86,1.092,0.969[0.86:1.092],0.604
1516,DPEP2,1.114,0.961,1.292,1.114[0.961:1.292],0.153
1517,ABHD6,0.906,0.726,1.131,0.906[0.726:1.131],0.385
1518,TRGC1,0.929,0.804,1.073,0.929[0.804:1.073],0.317
1519,CDKL2,0.99,0.859,1.141,0.99[0.859:1.141],0.89
1520,WNT7B,1.075,0.978,1.183,1.075[0.978:1.183],0.134
1521,PRDM12,1.067,0.877,1.299,1.067[0.877:1.299],0.515
1522,MAOB,1.013,0.914,1.124,1.013[0.914:1.124],0.799
1523,CMBL,0.981,0.854,1.127,0.981[0.854:1.127],0.786
1524,SFTPD,1.11,0.95,1.295,1.11[0.95:1.295],0.189
1525,CRIM1.DT,1.086,0.89,1.326,1.086[0.89:1.326],0.414
1526,GJB4,1.034,0.929,1.151,1.034[0.929:1.151],0.542
1527,LRCH2,1.043,0.916,1.187,1.043[0.916:1.187],0.529
1528,IQGAP2,0.981,0.857,1.124,0.981[0.857:1.124],0.787
1529,SPECC1,1.029,0.851,1.244,1.029[0.851:1.244],0.769
1530,HADHA,1.105,0.861,1.418,1.105[0.861:1.418],0.434
1531,RAB9B,1.035,0.908,1.181,1.035[0.908:1.181],0.605
1532,IGLV4.60,0.967,0.898,1.042,0.967[0.898:1.042],0.375
1533,GDNF.AS1,1.014,0.86,1.197,1.014[0.86:1.197],0.866
1534,CDH23,1.092,0.939,1.27,1.092[0.939:1.27],0.254
1535,SYN2,1.098,0.977,1.234,1.098[0.977:1.234],0.116
1536,PDLIM3,1.062,0.929,1.214,1.062[0.929:1.214],0.375
1537,ACAA1,1.021,0.799,1.304,1.021[0.799:1.304],0.869
1538,MEGF10,1.036,0.913,1.176,1.036[0.913:1.176],0.579
1539,IDH3A,1.02,0.806,1.29,1.02[0.806:1.29],0.871
1540,GAB1,0.977,0.811,1.177,0.977[0.811:1.177],0.808
1541,FAM136DP,0.991,0.817,1.202,0.991[0.817:1.202],0.925
1542,KCNT2,1.057,0.927,1.205,1.057[0.927:1.205],0.411
1543,RERG,1.032,0.914,1.167,1.032[0.914:1.167],0.61
1544,SNX24,1.002,0.846,1.187,1.002[0.846:1.187],0.984
1545,KCNG1,1.028,0.93,1.137,1.028[0.93:1.137],0.586
1546,CPNE4,1.034,0.93,1.149,1.034[0.93:1.149],0.537
1547,CPTP,1.085,0.863,1.365,1.085[0.863:1.365],0.483
1548,ENPP2,1.09,0.949,1.253,1.09[0.949:1.253],0.224
1549,RFPL1S,1.015,0.861,1.197,1.015[0.861:1.197],0.86
1550,MINDY1,1.134,0.906,1.421,1.134[0.906:1.421],0.273
1551,CHI3L1,0.996,0.889,1.117,0.996[0.889:1.117],0.95
1552,TPSAB1,0.97,0.869,1.083,0.97[0.869:1.083],0.589
1553,NHSL1,0.987,0.796,1.223,0.987[0.796:1.223],0.903
1554,CXCL3,0.877,0.764,1.007,0.877[0.764:1.007],0.063
1555,SIGLEC1,1.083,0.964,1.217,1.083[0.964:1.217],0.182
1556,FAM107B,1.018,0.872,1.188,1.018[0.872:1.188],0.819
1557,SLC4A11,1.145,1.014,1.293,1.145[1.014:1.293],0.029
1558,CLCN2,1.121,0.932,1.348,1.121[0.932:1.348],0.226
1559,TMIGD2,0.961,0.826,1.119,0.961[0.826:1.119],0.611
1560,GNAI1,1.033,0.882,1.209,1.033[0.882:1.209],0.688
1561,P3H2,1.034,0.91,1.176,1.034[0.91:1.176],0.606
1562,TCEA3,0.99,0.856,1.144,0.99[0.856:1.144],0.89
1563,SMIM2,1.145,0.964,1.36,1.145[0.964:1.36],0.123
1564,FAXDC2,1.056,0.914,1.22,1.056[0.914:1.22],0.46
1565,NCOA4,1.008,0.807,1.259,1.008[0.807:1.259],0.945
1566,RBMS3,1.07,0.924,1.238,1.07[0.924:1.238],0.367
1567,ARHGAP15,1.047,0.886,1.238,1.047[0.886:1.238],0.589
1568,IGLV2.18,0.953,0.88,1.031,0.953[0.88:1.031],0.231
1569,C2orf74,1.044,0.898,1.213,1.044[0.898:1.213],0.578
1570,NIM1K,1.141,0.946,1.377,1.141[0.946:1.377],0.168
1571,NRAP,0.954,0.853,1.067,0.954[0.853:1.067],0.411
1572,IGHV3.66,0.957,0.881,1.04,0.957[0.881:1.04],0.3
1573,HVCN1,1.128,0.946,1.344,1.128[0.946:1.344],0.181
1574,SLC16A9,1.018,0.915,1.133,1.018[0.915:1.133],0.742
1575,LXN,0.959,0.807,1.14,0.959[0.807:1.14],0.634
1576,CACNB2,0.997,0.864,1.151,0.997[0.864:1.151],0.966
1577,LINC01977,1.173,1.02,1.349,1.173[1.02:1.349],0.025
1578,SIDT2,1.152,0.906,1.465,1.152[0.906:1.465],0.248
1579,EDNRB,0.957,0.826,1.109,0.957[0.826:1.109],0.562
1580,GAS7,1.058,0.92,1.218,1.058[0.92:1.218],0.426
1581,ECI2,0.985,0.846,1.148,0.985[0.846:1.148],0.85
1582,NBEA,1.051,0.943,1.171,1.051[0.943:1.171],0.373
1583,C6,1.081,0.978,1.195,1.081[0.978:1.195],0.126
1584,LINC01811,0.956,0.854,1.069,0.956[0.854:1.069],0.427
1585,CX3CR1,1.019,0.884,1.175,1.019[0.884:1.175],0.796
1586,BARX2,1.026,0.927,1.135,1.026[0.927:1.135],0.624
1587,CDKN1A,0.987,0.819,1.19,0.987[0.819:1.19],0.895
1588,SCARA3,1.095,0.948,1.265,1.095[0.948:1.265],0.216
1589,LINC02798,1.122,0.955,1.318,1.122[0.955:1.318],0.162
1590,TBC1D9,0.999,0.854,1.168,0.999[0.854:1.168],0.99
1591,PPARGC1A,0.868,0.783,0.962,0.868[0.783:0.962],0.007
1592,IGHV3.47,0.94,0.836,1.057,0.94[0.836:1.057],0.303
1593,CYP3A4,1.048,0.934,1.175,1.048[0.934:1.175],0.426
1594,CCR9,1.078,0.931,1.248,1.078[0.931:1.248],0.316
1595,ATG4D,1.108,0.851,1.442,1.108[0.851:1.442],0.448
1596,CROT,0.963,0.81,1.145,0.963[0.81:1.145],0.67
1597,IKZF1,0.985,0.863,1.124,0.985[0.863:1.124],0.82
1598,OSBPL1A,1.197,1.024,1.4,1.197[1.024:1.4],0.024
1599,ICAM3,0.998,0.879,1.133,0.998[0.879:1.133],0.969
1600,AQP11,0.934,0.748,1.167,0.934[0.748:1.167],0.548
1601,CFAP54,1.027,0.878,1.2,1.027[0.878:1.2],0.739
1602,NOS1,1.076,0.976,1.185,1.076[0.976:1.185],0.14
1603,EPM2A,1.027,0.834,1.265,1.027[0.834:1.265],0.799
1604,IGKV5.2,1.005,0.922,1.096,1.005[0.922:1.096],0.908
1605,MESP2,1.198,1.035,1.386,1.198[1.035:1.386],0.016
1606,GAPT,0.988,0.876,1.113,0.988[0.876:1.113],0.839
1607,ZNF726,0.967,0.837,1.116,0.967[0.837:1.116],0.643
1608,APBB1,1.155,0.986,1.354,1.155[0.986:1.354],0.075
1609,JOSD1,1.063,0.837,1.351,1.063[0.837:1.351],0.617
1610,SMPD3,1.115,0.939,1.324,1.115[0.939:1.324],0.213
1611,SIPA1L2,0.958,0.809,1.136,0.958[0.809:1.136],0.622
1612,CLMP,0.995,0.873,1.136,0.995[0.873:1.136],0.946
1613,KL,1.031,0.911,1.166,1.031[0.911:1.166],0.633
1614,ABCD3,0.898,0.739,1.09,0.898[0.739:1.09],0.276
1615,TNS4,1.013,0.896,1.145,1.013[0.896:1.145],0.836
1616,AK5,0.992,0.857,1.15,0.992[0.857:1.15],0.92
1617,ADAMTS12,1.049,0.922,1.193,1.049[0.922:1.193],0.466
1618,LGALS3,0.96,0.797,1.156,0.96[0.797:1.156],0.665
1619,STAP2,1.067,0.859,1.326,1.067[0.859:1.326],0.557
1620,CHRNA1,0.926,0.806,1.064,0.926[0.806:1.064],0.276
1621,RGL1,1.059,0.899,1.247,1.059[0.899:1.247],0.492
1622,SMIM10L2B,1.168,0.986,1.384,1.168[0.986:1.384],0.072
1623,FKBP1B,0.984,0.858,1.128,0.984[0.858:1.128],0.814
1624,KRT23,0.982,0.919,1.049,0.982[0.919:1.049],0.586
1625,TSHZ1,1.091,0.9,1.322,1.091[0.9:1.322],0.377
1626,AKAP5,0.919,0.802,1.053,0.919[0.802:1.053],0.224
1627,MCPH1.AS1,1.027,0.877,1.202,1.027[0.877:1.202],0.744
1628,CMKLR1,1.02,0.888,1.172,1.02[0.888:1.172],0.78
1629,NAPSB,1.035,0.899,1.193,1.035[0.899:1.193],0.631
1630,LINC00858,1.089,0.994,1.194,1.089[0.994:1.194],0.067
1631,EPHA10,0.999,0.839,1.19,0.999[0.839:1.19],0.992
1632,MT2P1,0.988,0.85,1.149,0.988[0.85:1.149],0.875
1633,SNCA,1.083,0.949,1.236,1.083[0.949:1.236],0.236
1634,TMEM127,1.244,0.96,1.613,1.244[0.96:1.613],0.098
1635,SV2B,1.076,0.967,1.196,1.076[0.967:1.196],0.177
1636,TESPA1,0.984,0.861,1.125,0.984[0.861:1.125],0.816
1637,STAC2,1.058,0.914,1.224,1.058[0.914:1.224],0.453
1638,IGHV1OR21.1,0.96,0.843,1.092,0.96[0.843:1.092],0.534
1639,IGHV1OR15.9,0.955,0.861,1.059,0.955[0.861:1.059],0.381
1640,TNFAIP8L3,1.173,1.017,1.353,1.173[1.017:1.353],0.028
1641,GPR3,1.069,0.906,1.26,1.069[0.906:1.26],0.43
1642,ADCY2,1.071,0.939,1.222,1.071[0.939:1.222],0.309
1643,CALM1,0.976,0.761,1.251,0.976[0.761:1.251],0.846
1644,RADIL,1.132,0.999,1.284,1.132[0.999:1.284],0.053
1645,SLC24A4,1.01,0.861,1.185,1.01[0.861:1.185],0.899
1646,GPR82,0.953,0.819,1.108,0.953[0.819:1.108],0.529
1647,TMEM74,1.08,0.914,1.277,1.08[0.914:1.277],0.365
1648,LINC00877,0.929,0.793,1.088,0.929[0.793:1.088],0.359
1649,IGLV2.34,0.913,0.804,1.036,0.913[0.804:1.036],0.159
1650,LINC02979,0.922,0.775,1.097,0.922[0.775:1.097],0.362
1651,HADH,0.919,0.737,1.147,0.919[0.737:1.147],0.457
1652,KLC4,0.93,0.76,1.138,0.93[0.76:1.138],0.483
1653,SCN1B,1.143,0.969,1.349,1.143[0.969:1.349],0.113
1654,ADAMTS1,1.091,0.945,1.259,1.091[0.945:1.259],0.234
1655,PERM1,1.104,0.947,1.286,1.104[0.947:1.286],0.207
1656,FLI1,1.04,0.887,1.22,1.04[0.887:1.22],0.626
1657,PRKAA2,0.981,0.903,1.067,0.981[0.903:1.067],0.656
1658,TPRG1L,1.144,0.879,1.489,1.144[0.879:1.489],0.318
1659,C1QA,1.123,0.97,1.299,1.123[0.97:1.299],0.121
1660,PTPRR,0.989,0.875,1.117,0.989[0.875:1.117],0.855
1661,KRT6B,1.018,0.945,1.098,1.018[0.945:1.098],0.632
1662,MSRB3,1.056,0.932,1.198,1.056[0.932:1.198],0.392
1663,MGAT4A,1.073,0.897,1.284,1.073[0.897:1.284],0.442
1664,TIFAB,0.968,0.855,1.096,0.968[0.855:1.096],0.608
1665,FOXP2,1.031,0.94,1.131,1.031[0.94:1.131],0.517
1666,CGN,1.063,0.889,1.272,1.063[0.889:1.272],0.501
1667,ZFR2,1.298,1.11,1.519,1.298[1.11:1.519],0.001
1668,TMEM30B,1.119,0.909,1.378,1.119[0.909:1.378],0.288
1669,AGFG2,1.163,0.946,1.429,1.163[0.946:1.429],0.151
1670,SVIL,1.117,0.939,1.329,1.117[0.939:1.329],0.211
1671,LINC01605,0.969,0.84,1.118,0.969[0.84:1.118],0.665
1672,IGKV1.17,0.965,0.896,1.04,0.965[0.896:1.04],0.35
1673,GLDN,1.24,1.074,1.431,1.24[1.074:1.431],0.003
1674,LINC02975,1.098,0.948,1.271,1.098[0.948:1.271],0.211
1675,ZNF790.AS1,1.018,0.868,1.194,1.018[0.868:1.194],0.825
1676,CCNDBP1,1.199,0.925,1.555,1.199[0.925:1.555],0.17
1677,ITGB7,1.028,0.884,1.195,1.028[0.884:1.195],0.724
1678,CATSPERG,1.319,1.073,1.622,1.319[1.073:1.622],0.009
1679,GIMAP5,1.041,0.911,1.189,1.041[0.911:1.189],0.555
1680,ZNF135,1.075,0.932,1.24,1.075[0.932:1.24],0.321
1681,PITPNM3,1.013,0.87,1.179,1.013[0.87:1.179],0.868
1682,BTK,1.048,0.915,1.2,1.048[0.915:1.2],0.499
1683,ISX,0.966,0.894,1.045,0.966[0.894:1.045],0.391
1684,SLC31A2,1.051,0.893,1.237,1.051[0.893:1.237],0.55
1685,AP3B2,1.049,0.948,1.16,1.049[0.948:1.16],0.354
1686,CD200R1,0.958,0.837,1.096,0.958[0.837:1.096],0.535
1687,IGHV3.11,0.979,0.912,1.05,0.979[0.912:1.05],0.549
1688,IGKV1.16,0.967,0.897,1.042,0.967[0.897:1.042],0.377
1689,NHERF1,0.963,0.78,1.19,0.963[0.78:1.19],0.729
1690,CTSS,1.009,0.832,1.222,1.009[0.832:1.222],0.929
1691,TMEM120A,1.255,0.98,1.608,1.255[0.98:1.608],0.072
1692,MYH9.DT,1.064,0.881,1.286,1.064[0.881:1.286],0.517
1693,APBA1,1.069,0.913,1.253,1.069[0.913:1.253],0.407
1694,TMEM45B,1.001,0.824,1.215,1.001[0.824:1.215],0.995
1695,NMRAL2P,1.149,1.014,1.302,1.149[1.014:1.302],0.029
1696,CR2,1.013,0.932,1.102,1.013[0.932:1.102],0.761
1697,ZNF542P,0.941,0.811,1.091,0.941[0.811:1.091],0.42
1698,PPM1A,0.998,0.799,1.247,0.998[0.799:1.247],0.988
1699,SMYD1,1.008,0.909,1.118,1.008[0.909:1.118],0.882
1700,GLOD5,0.977,0.842,1.134,0.977[0.842:1.134],0.762
1701,CACNB1,1.192,0.985,1.441,1.192[0.985:1.441],0.071
1702,SERPINA4,1.073,0.984,1.17,1.073[0.984:1.17],0.109
1703,CCDC13.AS2,1.055,0.864,1.289,1.055[0.864:1.289],0.597
1704,GNAL,1.061,0.892,1.262,1.061[0.892:1.262],0.506
1705,RHOC,0.962,0.767,1.208,0.962[0.767:1.208],0.742
1706,MPI,1.178,0.94,1.475,1.178[0.94:1.475],0.155
1707,GNG12,0.929,0.769,1.123,0.929[0.769:1.123],0.447
1708,IGLV1.44,0.991,0.919,1.069,0.991[0.919:1.069],0.818
1709,NPAS3,1.039,0.909,1.188,1.039[0.909:1.188],0.572
1710,FAM13C,1.046,0.913,1.198,1.046[0.913:1.198],0.517
1711,MAN1A1,0.985,0.847,1.146,0.985[0.847:1.146],0.843
1712,NIT1,1.108,0.839,1.462,1.108[0.839:1.462],0.47
1713,ZNF677,1.084,0.936,1.254,1.084[0.936:1.254],0.283
1714,RIMS3,0.905,0.787,1.042,0.905[0.787:1.042],0.165
1715,IGKV3.20,0.992,0.917,1.072,0.992[0.917:1.072],0.835
1716,RAP1A,0.995,0.815,1.215,0.995[0.815:1.215],0.963
1717,LINC01705,1.044,0.944,1.155,1.044[0.944:1.155],0.4
1718,IGKV3D.11,0.983,0.9,1.075,0.983[0.9:1.075],0.714
1719,WDR7,1.018,0.839,1.236,1.018[0.839:1.236],0.854
1720,TOX,0.96,0.851,1.084,0.96[0.851:1.084],0.513
1721,IGHV3.41,0.961,0.858,1.075,0.961[0.858:1.075],0.483
1722,SOWAHB,1.049,0.867,1.27,1.049[0.867:1.27],0.624
1723,IGHV3.25,0.955,0.833,1.095,0.955[0.833:1.095],0.511
